target,gene,class,mechanism,family,group,organism
qnrD_T,qnrD,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRD,qnrD_T,Acinetobacter Brucella Citrobacter Clostridioides Enterobacter Escherichia Klebsiella Listeria Moellerella Morganella Proteus Providencia Pseudomonas Salmonella Serratia Shewanella Staphylococcus Streptococcus Vibrio
qnrD_T.1,qnrD,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRD,qnrD_T,Acinetobacter Brucella Citrobacter Clostridioides Enterobacter Escherichia Klebsiella Listeria Moellerella Morganella Proteus Providencia Pseudomonas Salmonella Serratia Shewanella Staphylococcus Streptococcus Vibrio
qnrS_T,qnrS,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS_T,Aeromonas Citrobacter Cronobacter Edwardsiella Enterobacter Escherichia Klebsiella Morganella Photobacterium Providencia Pseudomonas Raoultella Salmonella Serratia Vibrio
qnrS_T.1,qnrS,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS_T,Aeromonas Atlantibacter Citrobacter Cronobacter Edwardsiella Enterobacter Escherichia Klebsiella Morganella Photobacterium Providencia Pseudomonas Raoultella Salmonella Serratia Vibrio
qnrS_T.2,qnrS,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS_T,Aeromonas Citrobacter Cronobacter Edwardsiella Enterobacter Escherichia Klebsiella Morganella Photobacterium Providencia Pseudomonas Raoultella Salmonella Serratia Trabulsiella Vibrio
qnrS2a_T,qnrS2/6,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS2a_T,Aeromonas Citrobacter Edwardsiella Enterobacter Escherichia Klebsiella Leclercia Nitrincola Pseudomonas Salmonella Shewanella Shigella Vibrio 
qnrS2a_T.1,qnrS2/6,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS2a_T,Aeromonas Citrobacter Edwardsiella Enterobacter Escherichia Klebsiella Leclercia Nitrincola Pseudomonas Salmonella Shewanella Shigella Vibrio 
qnrS2a_T.2,qnrS2/6,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS2a_T,Aeromonas Citrobacter Edwardsiella Enterobacter Escherichia Klebsiella Leclercia Nitrincola Pseudomonas Salmonella Shigella Vibrio 
qnrS2a_T.3,qnrS2/6,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRS,qnrS2a_T,Aeromonas Citrobacter Edwardsiella Enterobacter Escherichia Klebsiella Leclercia Nitrincola Pseudomonas Salmonella Shigella Vibrio 
qnrVC1_T,qnrVC1/3,Fluoroquinolones,Quinolone_resistance_protein_Qnr,QNRVC,qnrVC1_T,Aeromonas Ectopseudomonas Marinobacter Pseudomonas Salmonella Shewanella Stutzerimonas Vibrio
