header,class,mechanism,group
blaACT_T.3,betalactams,Class_C_betalactamases,ACT
blaACT_T.4,betalactams,Class_C_betalactamases,ACT
blaADC-10.family_T,betalactams,Class_C_betalactamases,ADC
blaADC-10.family_T.1,betalactams,Class_C_betalactamases,ADC
blaADC-10.family_T.2,betalactams,Class_C_betalactamases,ADC
blaADC-10.family_T.3,betalactams,Class_C_betalactamases,ADC
blaADC-10.family_T.4,betalactams,Class_C_betalactamases,ADC
blaADC-10.family_T.5,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T.1,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T.2,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T.3,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T.4,betalactams,Class_C_betalactamases,ADC
blaADC-15.family_T.5,betalactams,Class_C_betalactamases,ADC
blaADC-25_T,betalactams,Class_C_betalactamases,ADC
blaADC-25_T.1,betalactams,Class_C_betalactamases,ADC
blaADC-25_T.2,betalactams,Class_C_betalactamases,ADC
blaADC-25_T.3,betalactams,Class_C_betalactamases,ADC
blaADC-25_T.4,betalactams,Class_C_betalactamases,ADC
blaADC-25_T.5,betalactams,Class_C_betalactamases,ADC
blaADC-8_T,betalactams,Class_C_betalactamases,ADC
blaADC-8_T.1,betalactams,Class_C_betalactamases,ADC
blaADC-8_T.2,betalactams,Class_C_betalactamases,ADC
blaADC-8_T.3,betalactams,Class_C_betalactamases,ADC
blaADC-8_T.4,betalactams,Class_C_betalactamases,ADC
blaADC-8_T.5,betalactams,Class_C_betalactamases,ADC
blaAIM-1_T,betalactams,Class_B_betalactamases,AIM
blaAIM-1_T.1,betalactams,Class_B_betalactamases,AIM
blaAIM-1_T.2,betalactams,Class_B_betalactamases,AIM
blaAIM-1_T.3,betalactams,Class_B_betalactamases,AIM
blaB_T,betalactams,Class_A_betalactamases,HUGA
blaB_T.1,betalactams,Class_A_betalactamases,HUGA
blaB_T.2,betalactams,Class_A_betalactamases,HUGA
blaB_T.3,betalactams,Class_A_betalactamases,HUGA
blaBEL_T,betalactams,Class_A_betalactamases,BEL
blaBEL_T.1,betalactams,Class_A_betalactamases,BEL
blaBEL_T.2,betalactams,Class_A_betalactamases,BEL
blaBEL_T.3,betalactams,Class_A_betalactamases,BEL
blaBES-1_T,betalactams,Class_A_betalactamases,BES
blaBES-1_T.1,betalactams,Class_A_betalactamases,BES
blaBES-1_T.2,betalactams,Class_A_betalactamases,BES
blaBES-1_T.3,betalactams,Class_A_betalactamases,BES
blaBIC_T,betalactams,Class_A_betalactamases,BIC
blaBIC_T.1,betalactams,Class_A_betalactamases,BIC
